0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,80,41,0,28,80,10,29,35,30,74,57,29,46,74,50,77,49,4,66
10,67,54,11,34,46,66,81,43,21,58,8,45,60,5,32,84,61,33,49
98,46,33,45,6,59,57,73,15,92,80,55,85,82,0,96,75,7,61,11
20,68,87,28,99,84,51,41,90,8,60,76,86,84,37,90,85,14,81,52
73,44,55,65,8,59,44,96,31,5,91,21,87,95,74,91,36,29,25,20
63,26,71,17,62,27,67,14,82,10,50,41,1,59,19,61,62,57,84,91
55,16,49,83,75,49,57,65,22,4,44,79,37,47,63,11,82,67,50,6
86,9,5,23,13,61,27,32,78,3,39,37,87,43,56,97,3,74,42,55
68,44,59,52,30,81,97,92,85,17,12,52,99,22,71,48,44,5,92,71
62,26,50,16,44,37,23,81,83,75,92,28,83,90,31,99,22,16,22,64
45,91,59,53,5,7,30,47,69,9,24,19,52,14,64,32,78,88,85,24
90,74,10,60,52,95,35,73,46,25,39,46,50,49,40,32,81,89,22,7
37,94,18,38,69,99,33,97,41,55,55,45,40,54,46,60,54,27,63,55
23,67,61,50,78,5,42,73,25,70,65,99,70,68,26,40,13,83,29,25
74,90,60,51,39,8,77,96,6,52,33,22,65,6,24,35,10,96,48,79
81,80,9,60,90,1,22,77,39,41,72,40,13,77,85,99,76,10,4,47
31,9,12,0,73,9,41,50,76,4,63,95,93,18,6,22,75,15,78,34
42,79,40,75,87,18,48,60,27,21,25,35,42,17,0,67,15,20,79,82
27,65,13,73,4,90,63,94,72,84,55,11,72,6,67,78,95,1,45,22
16,83,48,98,48,74,61,59,2,38,98,44,74,42,61,22,20,34,74,18
13,84,53,69,38,44,56,10,93,74,60,41,25,90,42,83,87,96,82,9
99,9,75,13,32,24,32,72,11,1,75,99,98,40,37,20,3,77,36,8
59,27,31,67,82,9,3,57,91,74,98,12,12,70,80,21,44,76,31,52
25,67,27,86,79,11,40,12,22,15,98,23,75,8,24,98,63,72,47,76
42,63,98,66,2,95,16,65,95,73,10,58,21,32,58,88,52,42,84,31
99,57,42,27,53,90,68,35,28,75,13,75,16,5,11,30,96,29,79,44
